antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
error_category=concept_confusion & uses_coordinate=1,criticality=wide,0.20166666666666666,0.5,0.12444444444444444,0.6170798898071626,1.234159779614325,1.0,0.02361111111111111,1.3057553956834533,0.23766030420518938,0.21559191530317615,0.2341597796143251,0.43298438934802574
criticality=wide & uses_coordinate=1,error_category=concept_confusion,0.1661111111111111,0.4127777777777778,0.12444444444444444,0.7491638795986623,1.8149326827423848,1.0,0.055877469135802466,2.34105925925926,0.5384594793946893,0.27383863080684595,0.5728429359296046,0.5253221820604348
criticality=wide & level=L3 & uses_coordinate=1,has_formula=1,0.1661111111111111,0.83,0.1661111111111111,1.0,1.2048192771084338,1.0,0.028238888888888897,inf,0.20386409060626257,0.2001338688085676,1.0,0.6000669344042838
criticality=wide & has_formula=1 & level=L3,uses_coordinate=1,0.1661111111111111,0.33166666666666667,0.1661111111111111,1.0,3.0150753768844223,1.0,0.11101759259259258,inf,0.8014656895403064,0.5008375209380234,1.0,0.7504187604690117
criticality=wide & has_formula=1 & uses_coordinate=1,level=L3,0.1661111111111111,0.3333333333333333,0.1661111111111111,1.0,3.0,1.0,0.11074074074074074,inf,0.7994670219853431,0.4983333333333333,1.0,0.7491666666666666
criticality=wide & level=L3,has_formula=1 & uses_coordinate=1,0.16666666666666666,0.33111111111111113,0.1661111111111111,0.9966666666666666,3.0100671140939594,1.0,0.11092592592592591,200.66666666666202,0.8013377926421404,0.5008375209380234,0.995016611295681,0.7491722595078298
criticality=wide & uses_coordinate=1,has_formula=1 & level=L3,0.1661111111111111,0.33111111111111113,0.1661111111111111,1.0,3.0201342281879193,1.0,0.11110987654320986,inf,0.8021319120586275,0.5016778523489932,1.0,0.7508389261744965
criticality=wide & level=L3 & uses_coordinate=1,is_uncertain=0,0.1661111111111111,0.8372222222222222,0.165,0.9933110367892978,1.1864365402924593,1.0,0.02592808641975311,24.335277777778202,0.18844227305253305,0.19681908548707752,0.9589073932448328,0.5951956643800503
criticality=wide & is_uncertain=0 & level=L3,uses_coordinate=1,0.165,0.33166666666666667,0.165,1.0,3.0150753768844223,1.0,0.11027500000000001,inf,0.8003992015968064,0.4974874371859297,1.0,0.7487437185929648
criticality=wide & is_uncertain=0 & uses_coordinate=1,level=L3,0.165,0.3333333333333333,0.165,1.0,3.0,1.0,0.11000000000000001,inf,0.7984031936127745,0.4950000000000001,1.0,0.7475
criticality=wide & level=L3,is_uncertain=0 & uses_coordinate=1,0.16666666666666666,0.33,0.165,0.9900000000000001,3.0,1.0,0.11000000000000001,67.00000000000068,0.8,0.4974874371859297,0.9850746268656719,0.7450000000000001
criticality=wide & uses_coordinate=1,is_uncertain=0 & level=L3,0.1661111111111111,0.33,0.165,0.9933110367892978,3.0100334448160537,1.0,0.11018333333333334,100.16500000000171,0.8007994670219853,0.4983221476510067,0.9900164728198476,0.7466555183946488
criticality=wide & has_formula=1 & uses_coordinate=1,is_uncertain=0,0.1661111111111111,0.8372222222222222,0.165,0.9933110367892978,1.1864365402924593,1.0,0.02592808641975311,24.335277777778202,0.18844227305253305,0.19681908548707752,0.9589073932448328,0.5951956643800503
criticality=wide & is_uncertain=0 & uses_coordinate=1,has_formula=1,0.165,0.83,0.165,1.0,1.2048192771084338,1.0,0.02805000000000002,inf,0.20359281437125762,0.1987951807228916,1.0,0.5993975903614458
criticality=wide & uses_coordinate=1,has_formula=1 & is_uncertain=0,0.1661111111111111,0.7083333333333334,0.165,0.9933110367892978,1.4023214637025379,1.0,0.04733796296296297,43.60416666666741,0.34404672978956796,0.23257635082223965,0.977066411849021,0.613126106629943
criticality=wide & noise_keyword_present=0 & uses_coordinate=1,level=L3,0.16055555555555556,0.3333333333333333,0.16055555555555556,1.0,3.0,1.0,0.10703703703703704,inf,0.7941760423560557,0.4816666666666667,1.0,0.7408333333333333
criticality=wide & level=L3 & noise_keyword_present=0,uses_coordinate=1,0.16111111111111112,0.33166666666666667,0.16055555555555556,0.996551724137931,3.004678565239993,1.0,0.10712037037037037,193.8166666666663,0.7953206993744126,0.4832775919732442,0.9948404849944105,0.7403194131577427
criticality=wide & level=L3 & uses_coordinate=1,noise_keyword_present=0,0.1661111111111111,0.7572222222222222,0.16055555555555556,0.9665551839464884,1.2764485187847976,1.0,0.03477253086419754,7.259055555555584,0.2597184345384508,0.21048798252002915,0.8622410322738654,0.5892937328389816
criticality=wide & uses_coordinate=1,level=L3 & noise_keyword_present=0,0.1661111111111111,0.3238888888888889,0.16055555555555556,0.9665551839464884,2.9842184066958475,1.0,0.10675401234567902,20.215722222222304,0.7973530910189055,0.48735244519392923,0.9505335506192927,0.7311335096404826
criticality=wide & level=L3,noise_keyword_present=0 & uses_coordinate=1,0.16666666666666666,0.32222222222222224,0.16055555555555556,0.9633333333333334,2.989655172413793,1.0,0.10685185185185186,18.484848484848506,0.7986159169550173,0.4890016920473773,0.9459016393442624,0.7308045977011495
criticality=wide & noise_keyword_present=0 & uses_coordinate=1,has_formula=1,0.16055555555555556,0.83,0.16055555555555556,1.0,1.2048192771084338,1.0,0.027294444444444455,inf,0.20251489080079427,0.19344042838018743,1.0,0.5967202141900937
criticality=wide & has_formula=1 & uses_coordinate=1,noise_keyword_present=0,0.1661111111111111,0.7572222222222222,0.16055555555555556,0.9665551839464884,1.2764485187847976,1.0,0.03477253086419754,7.259055555555584,0.2597184345384508,0.21048798252002915,0.8622410322738654,0.5892937328389816
criticality=wide & uses_coordinate=1,has_formula=1 & noise_keyword_present=0,0.1661111111111111,0.6788888888888889,0.16055555555555556,0.9665551839464884,1.4237310401830436,1.0,0.04778456790123459,9.60122222222226,0.3569062378253023,0.2345779220779221,0.8958465936049813,0.6015263644773359
criticality=wide & noise_keyword_present=0 & uses_coordinate=1,is_uncertain=0,0.16055555555555556,0.8372222222222222,0.15944444444444444,0.9930795847750865,1.1861600879861685,1.0,0.02502376543209875,23.521388888888907,0.1869611236530252,0.19019218025182238,0.9574855037377328,0.5917620883397662
