antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
is_uncertain=0,noise_keyword_hit=none & noise_keyword_present=0 & uses_coordinate=0,1.0,0.7225,0.7225,0.7225,1.0,1.0,0.0,1.0,0.0,0.7225,0.0,0.8612500000000001
uses_coordinate=0,is_uncertain=0 & noise_keyword_hit=none & noise_keyword_present=0,0.8125,0.8925,0.7225,0.8892307692307693,0.9963369963369965,1.0,-0.0026562499999999156,0.9704861111111118,-0.019230769230768628,0.7353689567430025,-0.03041144901609944,0.8493772893772895
noise_keyword_hit=none,is_correct=1,0.8925,0.5933333333333334,0.5933333333333334,0.6647992530345472,1.1204481792717087,1.0,0.06378333333333341,1.2132033426183846,1.0000000000000009,0.6647992530345472,0.175735868117739,0.8323996265172736
is_correct=1,noise_keyword_hit=none,0.5933333333333334,0.8925,0.5933333333333334,1.0,1.1204481792717087,1.0,0.06378333333333341,inf,0.2643442622950823,0.6647992530345472,1.0,0.8323996265172736
noise_keyword_present=0,is_correct=1,0.8925,0.5933333333333334,0.5933333333333334,0.6647992530345472,1.1204481792717087,1.0,0.06378333333333341,1.2132033426183846,1.0000000000000009,0.6647992530345472,0.175735868117739,0.8323996265172736
is_correct=1,noise_keyword_present=0,0.5933333333333334,0.8925,0.5933333333333334,1.0,1.1204481792717087,1.0,0.06378333333333341,inf,0.2643442622950823,0.6647992530345472,1.0,0.8323996265172736
is_correct=1,is_uncertain=0,0.5933333333333334,1.0,0.5933333333333334,1.0,1.0,1.0,0.0,inf,0.0,0.5933333333333335,0.0,0.7966666666666666
is_correct=1,uses_coordinate=0,0.5933333333333334,0.8125,0.52,0.8764044943820224,1.0786516853932584,1.0,0.037916666666666654,1.5170454545454535,0.17930327868852453,0.5870178739416746,0.34082397003745274,0.7582022471910113
uses_coordinate=0,is_correct=1,0.8125,0.5933333333333334,0.52,0.64,1.0786516853932584,1.0,0.037916666666666654,1.1296296296296295,0.38888888888888873,0.5870178739416746,0.11475409836065567,0.7582022471910113
noise_keyword_hit=none & noise_keyword_present=0,is_correct=1,0.8925,0.5933333333333334,0.5933333333333334,0.6647992530345472,1.1204481792717087,1.0,0.06378333333333341,1.2132033426183846,1.0000000000000009,0.6647992530345472,0.175735868117739,0.8323996265172736
