strategy,model,noise_label,level_consistency,all_levels_same_rate,groups
halton_space_filling,gpt-4o-mini,ambient_noise,0.5925925925925926,0.3888888888888889,18
halton_space_filling,gpt-4o-mini,emotional_pressure,0.6825396825396824,0.5238095238095238,21
halton_space_filling,gpt-4o-mini,lighting,0.5277777777777778,0.2916666666666667,24
halton_space_filling,gpt-4o-mini,material_color,0.48148148148148145,0.2777777777777778,18
halton_space_filling,gpt-4o-mini,none,0.6296296296296295,0.4444444444444444,18
halton_space_filling,gpt-5.5,ambient_noise,0.6444444444444444,0.5333333333333333,15
halton_space_filling,gpt-5.5,emotional_pressure,0.3777777777777777,0.2,15
halton_space_filling,gpt-5.5,lighting,0.4444444444444445,0.26666666666666666,15
halton_space_filling,gpt-5.5,material_color,0.5,0.3888888888888889,18
halton_space_filling,gpt-5.5,none,0.5277777777777778,0.3333333333333333,12
halton_space_filling,grok-4,ambient_noise,0.4848484848484848,0.2727272727272727,11
halton_space_filling,grok-4,emotional_pressure,0.5384615384615384,0.38461538461538464,13
halton_space_filling,grok-4,lighting,0.5666666666666667,0.4,10
halton_space_filling,grok-4,material_color,0.5454545454545454,0.36363636363636365,11
halton_space_filling,grok-4,none,0.48148148148148145,0.3333333333333333,9
real_world_archetype_matrix,claude-opus-4-6,ambient_noise,0.6444444444444444,0.4666666666666667,15
real_world_archetype_matrix,claude-opus-4-6,emotional_pressure,0.6666666666666666,0.5,12
real_world_archetype_matrix,claude-opus-4-6,lighting,0.6888888888888889,0.5333333333333333,15
real_world_archetype_matrix,claude-opus-4-6,material_color,0.6,0.4,15
real_world_archetype_matrix,claude-opus-4-6,none,0.7948717948717949,0.6923076923076923,13
real_world_archetype_matrix,claude-sonnet-4-6-thinking,ambient_noise,0.3555555555555555,0.13333333333333333,15
real_world_archetype_matrix,claude-sonnet-4-6-thinking,emotional_pressure,0.4166666666666667,0.16666666666666666,12
real_world_archetype_matrix,claude-sonnet-4-6-thinking,lighting,0.3777777777777777,0.06666666666666667,15
real_world_archetype_matrix,claude-sonnet-4-6-thinking,material_color,0.4222222222222222,0.2,15
real_world_archetype_matrix,claude-sonnet-4-6-thinking,none,0.619047619047619,0.42857142857142855,14
real_world_archetype_matrix,gemini-3-flash-preview,ambient_noise,0.8666666666666667,0.8,15
real_world_archetype_matrix,gemini-3-flash-preview,emotional_pressure,0.8666666666666667,0.8,15
real_world_archetype_matrix,gemini-3-flash-preview,lighting,0.9111111111111111,0.8666666666666667,15
real_world_archetype_matrix,gemini-3-flash-preview,material_color,0.7254901960784313,0.5882352941176471,17
real_world_archetype_matrix,gemini-3-flash-preview,none,0.8333333333333334,0.75,16
real_world_archetype_matrix,gpt-4o,ambient_noise,0.3157894736842105,0.0,19
real_world_archetype_matrix,gpt-4o,emotional_pressure,0.3188405797101449,0.0,23
real_world_archetype_matrix,gpt-4o,lighting,0.3623188405797101,0.08695652173913043,23
real_world_archetype_matrix,gpt-4o,material_color,0.2807017543859649,0.0,19
real_world_archetype_matrix,gpt-4o,none,0.31666666666666665,0.0,20
real_world_archetype_matrix,gpt-4o-mini,ambient_noise,0.7777777777777778,0.6666666666666666,18
real_world_archetype_matrix,gpt-4o-mini,emotional_pressure,0.746031746031746,0.6190476190476191,21
real_world_archetype_matrix,gpt-4o-mini,lighting,0.7638888888888888,0.6666666666666666,24
real_world_archetype_matrix,gpt-4o-mini,material_color,0.7037037037037037,0.5555555555555556,18
real_world_archetype_matrix,gpt-4o-mini,none,0.7777777777777778,0.6666666666666666,18
real_world_archetype_matrix,gpt-5.5,ambient_noise,0.6,0.4666666666666667,15
real_world_archetype_matrix,gpt-5.5,emotional_pressure,0.4666666666666667,0.26666666666666666,15
real_world_archetype_matrix,gpt-5.5,lighting,0.6,0.4666666666666667,15
real_world_archetype_matrix,gpt-5.5,material_color,0.6666666666666666,0.5555555555555556,18
real_world_archetype_matrix,gpt-5.5,none,0.3888888888888889,0.16666666666666666,12
real_world_archetype_matrix,grok-4,ambient_noise,0.6666666666666666,0.5,12
real_world_archetype_matrix,grok-4,emotional_pressure,0.7333333333333333,0.6,10
real_world_archetype_matrix,grok-4,lighting,0.6666666666666667,0.5,14
real_world_archetype_matrix,grok-4,material_color,0.6410256410256411,0.46153846153846156,13
real_world_archetype_matrix,grok-4,none,0.5897435897435896,0.38461538461538464,13
