strategy,model,noise_label,flip_rate,noisy_accuracy,samples
dimensionless_ratio_design,gpt-5.5,material_color,0.38596491228070173,0.631578947368421,57
dimensionless_ratio_design,gpt-5.5,ambient_noise,0.3148148148148148,0.6111111111111112,54
dimensionless_ratio_design,grok-4,ambient_noise,0.5,0.58,50
dimensionless_ratio_design,grok-4,lighting,0.45652173913043476,0.5869565217391305,46
dimensionless_ratio_design,grok-4,material_color,0.34615384615384615,0.6153846153846154,52
dimensionless_ratio_design,grok-4,emotional_pressure,0.3125,0.5208333333333334,48
halton_space_filling,Kimi-K2-Thinking,emotional_pressure,1.0,0.5,4
halton_space_filling,Kimi-K2-Thinking,lighting,0.75,1.0,4
halton_space_filling,Kimi-K2-Thinking,material_color,0.5,0.0,6
halton_space_filling,Kimi-K2-Thinking,ambient_noise,0.42857142857142855,0.7142857142857143,7
halton_space_filling,claude-opus-4-6,emotional_pressure,0.25,0.6458333333333334,48
halton_space_filling,claude-opus-4-6,ambient_noise,0.20754716981132076,0.5283018867924528,53
halton_space_filling,claude-opus-4-6,material_color,0.2037037037037037,0.5,54
halton_space_filling,claude-opus-4-6,lighting,0.19607843137254902,0.5686274509803921,51
halton_space_filling,claude-sonnet-4-6-thinking,material_color,0.3018867924528302,0.18867924528301888,53
halton_space_filling,claude-sonnet-4-6-thinking,ambient_noise,0.2692307692307692,0.3269230769230769,52
halton_space_filling,claude-sonnet-4-6-thinking,lighting,0.2549019607843137,0.23529411764705882,51
halton_space_filling,claude-sonnet-4-6-thinking,emotional_pressure,0.25,0.25,48
halton_space_filling,deepseek-v4-pro,lighting,0.4,0.6,10
halton_space_filling,deepseek-v4-pro,emotional_pressure,0.25,0.75,8
halton_space_filling,deepseek-v4-pro,material_color,0.2222222222222222,0.7777777777777778,9
halton_space_filling,deepseek-v4-pro,ambient_noise,0.125,0.875,8
halton_space_filling,gemini-3-flash-preview,lighting,0.13725490196078433,0.23529411764705882,51
halton_space_filling,gemini-3-flash-preview,emotional_pressure,0.11764705882352941,0.21568627450980393,51
halton_space_filling,gemini-3-flash-preview,material_color,0.10714285714285714,0.19642857142857142,56
halton_space_filling,gemini-3-flash-preview,ambient_noise,0.09433962264150944,0.22641509433962265,53
halton_space_filling,gpt-4o,lighting,0.26666666666666666,0.3466666666666667,75
halton_space_filling,gpt-4o,emotional_pressure,0.2222222222222222,0.2777777777777778,72
halton_space_filling,gpt-4o,ambient_noise,0.15942028985507245,0.34782608695652173,69
halton_space_filling,gpt-4o,material_color,0.125,0.3333333333333333,72
halton_space_filling,gpt-4o-mini,material_color,0.2777777777777778,0.4166666666666667,72
halton_space_filling,gpt-4o-mini,lighting,0.25333333333333335,0.4266666666666667,75
halton_space_filling,gpt-4o-mini,emotional_pressure,0.2361111111111111,0.3888888888888889,72
halton_space_filling,gpt-4o-mini,ambient_noise,0.21739130434782608,0.4492753623188406,69
halton_space_filling,gpt-5.5,emotional_pressure,0.5294117647058824,0.39215686274509803,51
halton_space_filling,gpt-5.5,lighting,0.3333333333333333,0.45098039215686275,51
halton_space_filling,gpt-5.5,material_color,0.3333333333333333,0.45614035087719296,57
halton_space_filling,gpt-5.5,ambient_noise,0.2830188679245283,0.5283018867924528,53
halton_space_filling,grok-4,material_color,0.3333333333333333,0.5208333333333334,48
halton_space_filling,grok-4,emotional_pressure,0.3191489361702128,0.5106382978723404,47
halton_space_filling,grok-4,ambient_noise,0.26666666666666666,0.5333333333333333,45
halton_space_filling,grok-4,lighting,0.21428571428571427,0.5952380952380952,42
real_world_archetype_matrix,Kimi-K2-Thinking,emotional_pressure,0.625,1.0,8
real_world_archetype_matrix,Kimi-K2-Thinking,ambient_noise,0.14285714285714285,1.0,7
real_world_archetype_matrix,Kimi-K2-Thinking,lighting,0.0,1.0,4
real_world_archetype_matrix,Kimi-K2-Thinking,material_color,0.0,1.0,6
real_world_archetype_matrix,claude-opus-4-6,emotional_pressure,0.16666666666666666,0.6666666666666666,48
real_world_archetype_matrix,claude-opus-4-6,material_color,0.16666666666666666,0.6296296296296297,54
real_world_archetype_matrix,claude-opus-4-6,lighting,0.13725490196078433,0.6470588235294118,51
real_world_archetype_matrix,claude-opus-4-6,ambient_noise,0.1320754716981132,0.660377358490566,53
real_world_archetype_matrix,claude-sonnet-4-6-thinking,ambient_noise,0.42592592592592593,0.48148148148148145,54
real_world_archetype_matrix,claude-sonnet-4-6-thinking,material_color,0.42592592592592593,0.3888888888888889,54
real_world_archetype_matrix,claude-sonnet-4-6-thinking,lighting,0.29411764705882354,0.3137254901960784,51
real_world_archetype_matrix,claude-sonnet-4-6-thinking,emotional_pressure,0.2916666666666667,0.3125,48
real_world_archetype_matrix,deepseek-v4-pro,material_color,0.7777777777777778,0.1111111111111111,9
real_world_archetype_matrix,deepseek-v4-pro,ambient_noise,0.7142857142857143,0.14285714285714285,7
real_world_archetype_matrix,deepseek-v4-pro,emotional_pressure,0.6666666666666666,0.5,6
real_world_archetype_matrix,deepseek-v4-pro,lighting,0.6666666666666666,0.5,6
real_world_archetype_matrix,gemini-3-flash-preview,material_color,0.125,0.23214285714285715,56
real_world_archetype_matrix,gemini-3-flash-preview,ambient_noise,0.11320754716981132,0.24528301886792453,53
real_world_archetype_matrix,gemini-3-flash-preview,emotional_pressure,0.09803921568627451,0.23529411764705882,51
real_world_archetype_matrix,gemini-3-flash-preview,lighting,0.058823529411764705,0.19607843137254902,51
real_world_archetype_matrix,gpt-4o,lighting,0.15789473684210525,0.47368421052631576,76
real_world_archetype_matrix,gpt-4o,ambient_noise,0.0821917808219178,0.3835616438356164,73
real_world_archetype_matrix,gpt-4o,emotional_pressure,0.07894736842105263,0.35526315789473684,76
real_world_archetype_matrix,gpt-4o,material_color,0.06666666666666667,0.4,75
real_world_archetype_matrix,gpt-4o-mini,lighting,0.17333333333333334,0.6133333333333333,75
real_world_archetype_matrix,gpt-4o-mini,material_color,0.1111111111111111,0.5416666666666666,72
real_world_archetype_matrix,gpt-4o-mini,emotional_pressure,0.08333333333333333,0.5833333333333334,72
real_world_archetype_matrix,gpt-4o-mini,ambient_noise,0.057971014492753624,0.5652173913043478,69
real_world_archetype_matrix,gpt-5.5,emotional_pressure,0.47058823529411764,0.5098039215686274,51
real_world_archetype_matrix,gpt-5.5,ambient_noise,0.4074074074074074,0.6111111111111112,54
real_world_archetype_matrix,gpt-5.5,material_color,0.38596491228070173,0.6491228070175439,57
real_world_archetype_matrix,gpt-5.5,lighting,0.37254901960784315,0.6078431372549019,51
real_world_archetype_matrix,grok-4,ambient_noise,0.375,0.7083333333333334,48
real_world_archetype_matrix,grok-4,lighting,0.3333333333333333,0.6458333333333334,48
real_world_archetype_matrix,grok-4,material_color,0.3333333333333333,0.5882352941176471,51
real_world_archetype_matrix,grok-4,emotional_pressure,0.32558139534883723,0.6744186046511628,43
